vendor_name,trip_date,trip_hour,total_revenue
"Creative Mobile Technologies, LLC",2025-03-11,0,7164.499999999999
"Creative Mobile Technologies, LLC",2025-03-12,0,6661.509999999999
"Creative Mobile Technologies, LLC",2025-06-10,0,9471.62
"Creative Mobile Technologies, LLC",2025-03-28,0,13591.899999999998
Helix,2025-02-19,0,61.730000000000004
"Creative Mobile Technologies, LLC",2025-03-08,0,23508.890000000003
"Creative Mobile Technologies, LLC",2025-06-02,0,8423.910000000002
Helix,2025-06-22,0,3259.28
Helix,2025-04-24,0,596.87
Helix,2025-06-06,0,3311.25
"Creative Mobile Technologies, LLC",2025-04-03,0,8901.189999999999
"Creative Mobile Technologies, LLC",2025-01-17,0,10232.589999999997
"Creative Mobile Technologies, LLC",2025-04-17,0,9391.65
"Curb Mobility, LCC",2025-05-29,0,52394.43000000001
"Creative Mobile Technologies, LLC",2025-01-28,0,4572.5599999999995
"Creative Mobile Technologies, LLC",2025-04-15,0,6044.12
"Creative Mobile Technologies, LLC",2025-04-26,0,25554.280000000002
Helix,2025-04-26,0,1789.1499999999999
Helix,2025-04-21,0,464.74
Helix,2025-04-12,0,1206.73
"Curb Mobility, LCC",2025-05-15,0,86672.22
"Curb Mobility, LCC",2025-03-29,0,103673.19
"Curb Mobility, LCC",2025-06-22,0,92530.68999999999
"Curb Mobility, LCC",2025-06-11,0,53810.38
"Creative Mobile Technologies, LLC",2025-01-01,0,29690.95
"Creative Mobile Technologies, LLC",2025-03-29,0,23764.07
"Creative Mobile Technologies, LLC",2025-06-11,0,9291.859999999999
"Curb Mobility, LCC",2025-05-12,0,45978.759999999995
"Curb Mobility, LCC",2025-01-25,0,83951.62
"Curb Mobility, LCC",2025-06-26,0,74244.45
"Creative Mobile Technologies, LLC",2025-04-22,0,6758.03
Helix,2025-06-17,0,922.5399999999998
"Creative Mobile Technologies, LLC",2025-03-05,0,6211.959999999999
"Curb Mobility, LCC",2025-02-11,0,31351.849999999995
Helix,2025-05-19,0,819.61
"Creative Mobile Technologies, LLC",2025-06-28,0,24587.950000000008
Helix,2025-05-28,0,1213.66
"Creative Mobile Technologies, LLC",2025-05-08,0,10099.769999999999
"Curb Mobility, LCC",2025-05-22,0,67179.02
"Creative Mobile Technologies, LLC",2025-03-18,0,8523.02
"Curb Mobility, LCC",2025-06-04,0,42603.04000000001
"Curb Mobility, LCC",2025-01-24,0,47263.09999999999
"Creative Mobile Technologies, LLC",2025-04-16,0,7945.009999999999
"Creative Mobile Technologies, LLC",2025-01-12,0,24163.13
"Creative Mobile Technologies, LLC",2025-03-26,0,7436.74
"Curb Mobility, LCC",2025-02-03,0,35409.85
"Creative Mobile Technologies, LLC",2025-06-20,0,16320.35
"Creative Mobile Technologies, LLC",2025-03-06,0,9732.439999999999
"Creative Mobile Technologies, LLC",2025-05-06,0,11145.880000000003
"Curb Mobility, LCC",2025-03-02,0,111744.18000000002
"Curb Mobility, LCC",2025-05-26,0,47385.6
"Creative Mobile Technologies, LLC",2025-01-07,0,7625.820000000001
"Creative Mobile Technologies, LLC",2025-02-23,0,30563.17
"Curb Mobility, LCC",2025-06-24,0,57795.53999999999
"Curb Mobility, LCC",2025-05-06,0,67789.32999999999
"Curb Mobility, LCC",2025-04-25,0,67718.81999999999
"Curb Mobility, LCC",2025-01-16,0,32710.480000000007
"Creative Mobile Technologies, LLC",2025-06-03,0,6716.69
"Curb Mobility, LCC",2025-02-10,0,28793.14
Helix,2025-06-25,0,1376.16
"Curb Mobility, LCC",2025-03-20,0,41843.16999999999
"Curb Mobility, LCC",2025-03-24,0,35155.98
Helix,2025-01-02,0,11.4
"Curb Mobility, LCC",2025-06-03,0,44505.96
Helix,2025-03-11,0,399.28
Helix,2025-06-24,0,1675.41
"Creative Mobile Technologies, LLC",2025-06-22,0,21157.77
Helix,2025-05-03,0,2201.8199999999997
"Creative Mobile Technologies, LLC",2025-02-14,0,12398.560000000001
"Creative Mobile Technologies, LLC",2025-04-18,0,14308.69
"Curb Mobility, LCC",2025-02-16,0,82156.41999999998
"Creative Mobile Technologies, LLC",2025-02-17,0,12358.229999999998
Helix,2025-06-02,0,1140.76
"Curb Mobility, LCC",2025-04-18,0,66792.35999999999
Helix,2025-03-08,0,827.06
"Creative Mobile Technologies, LLC",2025-01-27,0,5993.0199999999995
"Curb Mobility, LCC",2025-02-13,0,28883.769999999993
"Curb Mobility, LCC",2025-04-13,0,80854.82
"Creative Mobile Technologies, LLC",2025-02-04,0,4253.22
"Curb Mobility, LCC",2025-04-12,0,93109.03000000001
"Creative Mobile Technologies, LLC",2025-03-22,0,24550.690000000002
"Creative Mobile Technologies, LLC",2025-02-16,0,20406.59
Helix,2025-03-16,0,1140.2
"Creative Mobile Technologies, LLC",2025-05-25,0,16857.500000000004
Helix,2025-03-10,0,100.12
"Curb Mobility, LCC",2025-03-17,0,58142.39
"Creative Mobile Technologies, LLC",2025-03-09,0,72194.42000000001
"Curb Mobility, LCC",2025-01-13,0,27968.120000000003
"Curb Mobility, LCC",2025-05-18,0,110940.82999999997
"Curb Mobility, LCC",2025-02-18,0,52331.75
Helix,2025-04-09,0,386.47
"Creative Mobile Technologies, LLC",2025-02-12,0,5515.9400000000005
Helix,2025-03-07,0,369.08000000000004
Helix,2025-04-07,0,389.31
Helix,2025-05-06,0,907.86
"Curb Mobility, LCC",2025-05-19,0,47382.92
"Curb Mobility, LCC",2025-01-04,0,64074.29999999999
"Curb Mobility, LCC",2025-02-21,0,64304.119999999995
"Curb Mobility, LCC",2025-06-16,0,58549.25999999998
"Curb Mobility, LCC",2025-02-15,0,92387.63000000003
"Curb Mobility, LCC",2025-05-11,0,91796.89999999998
Helix,2025-04-17,0,535.9100000000001
"Creative Mobile Technologies, LLC",2025-01-23,0,7257.710000000001
"Creative Mobile Technologies, LLC",2025-02-09,0,24108.870000000003
"Curb Mobility, LCC",2025-03-08,0,97041.93000000001
"Creative Mobile Technologies, LLC",2025-05-20,0,7070.67
"Creative Mobile Technologies, LLC",2025-01-22,0,6131.440000000001
Helix,2025-02-01,0,85.73
"Curb Mobility, LCC",2025-04-08,0,34456.04
"Curb Mobility, LCC",2025-03-06,0,51338.48
"Curb Mobility, LCC",2025-04-26,0,108115.60999999999
"Curb Mobility, LCC",2025-01-14,0,21530.579999999998
"Curb Mobility, LCC",2025-06-01,0,100816.95999999999
Helix,2025-05-21,0,2068.8100000000004
"Curb Mobility, LCC",2025-05-09,0,92455.68
"Curb Mobility, LCC",2025-01-19,0,81443.82000000002
Helix,2025-06-03,0,1065.82
"Curb Mobility, LCC",2025-06-18,0,58980.70999999999
Helix,2025-05-08,0,898.8799999999999
"Curb Mobility, LCC",2025-03-16,0,101288.74999999999
Helix,2025-05-29,0,1652.9199999999998
"Creative Mobile Technologies, LLC",2025-06-05,0,14861.929999999998
"Creative Mobile Technologies, LLC",2025-01-10,0,10638.500000000002
Helix,2025-02-02,0,140.10999999999999
"Curb Mobility, LCC",2025-01-27,0,26589.260000000002
"Curb Mobility, LCC",2025-02-07,0,55611.50999999998
"Curb Mobility, LCC",2025-01-08,0,29018.029999999995
Helix,2025-06-13,0,3037.51
"Curb Mobility, LCC",2025-05-27,0,41935.44000000001
Helix,2025-06-12,0,1883.4099999999999
"Curb Mobility, LCC",2025-02-17,0,54533.59999999999
"Curb Mobility, LCC",2025-06-27,0,98302.61000000002
"Curb Mobility, LCC",2025-04-24,0,45458.479999999996
Helix,2025-03-26,0,424.14000000000004
Helix,2025-04-08,0,308.68
"Curb Mobility, LCC",2025-06-20,0,86015.21999999997
"Curb Mobility, LCC",2025-04-01,0,37483.26
Helix,2025-04-25,0,950.3899999999999
"Curb Mobility, LCC",2009-01-01,0,103.12
"Creative Mobile Technologies, LLC",2025-06-09,0,13677.380000000001
Helix,2025-03-17,0,330.12
"Curb Mobility, LCC",2025-03-30,0,115879.10000000002
"Curb Mobility, LCC",2025-04-21,0,36954.05
"Creative Mobile Technologies, LLC",2025-04-27,0,24626.26000000001
"Creative Mobile Technologies, LLC",2025-05-02,0,14232.42
"Creative Mobile Technologies, LLC",2025-05-07,0,14253.480000000001
"Curb Mobility, LCC",2025-02-27,0,38066.43000000001
Helix,2025-03-06,0,142.01
"Creative Mobile Technologies, LLC",2025-01-31,0,11035.640000000001
"Creative Mobile Technologies, LLC",2025-02-02,0,26105.640000000007
"Curb Mobility, LCC",2025-03-18,0,50531.09999999999
"Creative Mobile Technologies, LLC",2025-05-14,0,7480.369999999999
"Creative Mobile Technologies, LLC",2025-01-15,0,4740.349999999999
Helix,2025-05-05,0,769.1200000000001
"Creative Mobile Technologies, LLC",2025-01-03,0,8800.819999999998
Helix,2025-02-18,0,22.05
"Curb Mobility, LCC",2025-01-18,0,73210.82999999999
"Creative Mobile Technologies, LLC",2025-02-19,0,6254.29
"Curb Mobility, LCC",2025-06-02,0,48361.899999999994
Helix,2025-01-25,0,112.96000000000001
"Creative Mobile Technologies, LLC",2025-02-03,0,7592.97
"Curb Mobility, LCC",2025-03-01,0,104417.65999999996
"Curb Mobility, LCC",2025-06-29,0,116991.67000000001
"Curb Mobility, LCC",2025-05-03,0,113275.07999999999
"Creative Mobile Technologies, LLC",2025-03-03,0,7455.32
"Curb Mobility, LCC",2025-04-22,0,34711.35
Helix,2025-06-21,0,2262.28
"Curb Mobility, LCC",2025-06-12,0,67781.62999999998
"Curb Mobility, LCC",2025-04-20,0,83761.7
"Curb Mobility, LCC",2025-02-04,0,22217.940000000002
Helix,2025-06-11,0,1843.9999999999998
"Curb Mobility, LCC",2025-02-24,0,31028.740000000005
"Curb Mobility, LCC",2025-02-01,0,79754.58000000002
"Creative Mobile Technologies, LLC",2025-03-25,0,7679.950000000001
"Curb Mobility, LCC",2025-01-05,0,80120.79
"Creative Mobile Technologies, LLC",2025-02-01,0,21601.49
Helix,2025-04-23,0,468.10999999999996
"Curb Mobility, LCC",2025-01-02,0,27293.79
"Curb Mobility, LCC",2025-04-30,0,41218.22999999999
Helix,2025-05-25,0,1782.26
"Creative Mobile Technologies, LLC",2025-01-29,0,5542.63
"Creative Mobile Technologies, LLC",2025-05-17,0,31676.370000000003
"Creative Mobile Technologies, LLC",2025-06-15,0,19777.929999999997
"Creative Mobile Technologies, LLC",2025-04-02,0,7711.2
Helix,2025-05-01,0,707.2100000000002
"Curb Mobility, LCC",2025-01-06,0,38021.009999999995
"Curb Mobility, LCC",2025-04-04,0,66938.12
Helix,2025-06-09,0,1490.3
"Creative Mobile Technologies, LLC",2025-06-12,0,13963.210000000003
Helix,2025-04-05,0,1094.19
"Creative Mobile Technologies, LLC",2025-03-23,0,27783.489999999994
"Curb Mobility, LCC",2025-01-17,0,47828.70999999999
"Creative Mobile Technologies, LLC",2025-04-13,0,17307.13
Helix,2025-03-21,0,548.94
Helix,2025-06-10,0,878.3299999999999
Helix,2025-06-14,0,3565.0800000000004
"Creative Mobile Technologies, LLC",2025-06-30,0,9552.720000000001
Helix,2025-03-14,0,579.08
"Creative Mobile Technologies, LLC",2025-04-21,0,6957.569999999999
"Creative Mobile Technologies, LLC",2025-01-14,0,4004.63
"Curb Mobility, LCC",2025-03-28,0,65632.90999999999
Helix,2025-02-15,0,258.98
"Curb Mobility, LCC",2025-01-30,0,31481.130000000005
"Creative Mobile Technologies, LLC",2025-01-02,0,5629.39
"Curb Mobility, LCC",2025-03-07,0,62787.63000000002
"Creative Mobile Technologies, LLC",2025-02-07,0,12295.31
"Creative Mobile Technologies, LLC",2025-05-09,0,17302.100000000002
"Curb Mobility, LCC",2025-06-15,0,83875.35
"Creative Mobile Technologies, LLC",2025-05-29,0,11273.580000000002
"Creative Mobile Technologies, LLC",2025-02-21,0,13881.680000000002
Helix,2025-03-28,0,665.2100000000002
Helix,2025-06-05,0,2502.34
"Creative Mobile Technologies, LLC",2025-03-21,0,15334.29
"Curb Mobility, LCC",2025-03-19,0,33367.29
"Creative Mobile Technologies, LLC",2025-05-18,0,26224.870000000006
"Creative Mobile Technologies, LLC",2025-04-14,0,7407.9800000000005
Helix,2025-02-28,0,80.79
Helix,2025-03-24,0,392.07000000000005
"Creative Mobile Technologies, LLC",2025-05-13,0,7652.78
"Curb Mobility, LCC",2025-06-06,0,88567.33
Helix,2025-06-07,0,2627.18
"Curb Mobility, LCC",2025-03-26,0,34260.42999999999
Helix,2025-04-10,0,280.54
"Creative Mobile Technologies, LLC",2025-06-18,0,11304.25
"Creative Mobile Technologies, LLC",2025-01-18,0,19437.339999999997
"Curb Mobility, LCC",2025-03-31,0,56902.609999999986
"Creative Mobile Technologies, LLC",2025-05-30,0,15818.52
"Creative Mobile Technologies, LLC",2025-05-28,0,8423.7
"Creative Mobile Technologies, LLC",2025-06-24,0,10490.649999999998
Helix,2025-01-11,0,66.78
"Curb Mobility, LCC",2025-05-10,0,107513.18
"Creative Mobile Technologies, LLC",2025-03-19,0,7318.34
"Creative Mobile Technologies, LLC",2025-04-20,0,18103.1
"Curb Mobility, LCC",2025-05-24,0,79525.06
"Creative Mobile Technologies, LLC",2025-01-04,0,13934.290000000005
"Creative Mobile Technologies, LLC",2025-06-04,0,9730.979999999998
"Creative Mobile Technologies, LLC",2025-02-13,0,5590.6
"Creative Mobile Technologies, LLC",2025-04-09,0,7491.610000000001
"Curb Mobility, LCC",2025-04-09,0,38855.28999999999
"Creative Mobile Technologies, LLC",2025-04-06,0,26124.009999999995
"Creative Mobile Technologies, LLC",2025-04-29,0,7748.120000000001
"Curb Mobility, LCC",2025-06-19,0,93389.22
"Curb Mobility, LCC",2025-05-05,0,55259.35999999999
"Curb Mobility, LCC",2025-04-11,0,65431.18
Helix,2025-03-31,0,416.42999999999995
Helix,2025-06-28,0,3420.6
Helix,2025-04-28,0,621.45
"Creative Mobile Technologies, LLC",2025-01-20,0,14176.87
Helix,2025-04-27,0,2301.4700000000003
"Creative Mobile Technologies, LLC",2025-01-25,0,22900.309999999994
"Creative Mobile Technologies, LLC",2025-02-06,0,7622.389999999999
Helix,2025-03-02,0,204.54000000000002
"Curb Mobility, LCC",2025-04-10,0,43731.07999999999
"Creative Mobile Technologies, LLC",2025-01-13,0,5992.950000000001
Helix,2025-02-27,0,77.7
"Curb Mobility, LCC",2025-06-09,0,74935.29999999999
"Curb Mobility, LCC",2025-03-11,0,37622.1
Helix,2025-05-07,0,1006.2899999999998
Helix,2025-05-13,0,1155.77
"Creative Mobile Technologies, LLC",2025-02-25,0,6298.91
Helix,2025-06-19,0,2714.4999999999995
"Curb Mobility, LCC",2025-05-13,0,39895.85999999999
"Creative Mobile Technologies, LLC",2025-04-10,0,8644.039999999999
Helix,2025-03-15,0,1050.1500000000003
Helix,2025-04-20,0,1310.51
"Curb Mobility, LCC",2025-01-12,0,87367.41999999998
Helix,2025-06-08,0,3814.7599999999998
"Curb Mobility, LCC",2025-01-20,0,58971.95999999999
"Curb Mobility, LCC",2025-04-19,0,88417.53000000003
"Creative Mobile Technologies, LLC",2025-03-16,0,23571.969999999994
"Curb Mobility, LCC",2025-05-04,0,100117.20999999998
"Curb Mobility, LCC",2025-01-10,0,48756.67999999999
"Curb Mobility, LCC",2025-05-30,0,76828.30999999998
"Creative Mobile Technologies, LLC",2025-03-10,0,8243.01
"Creative Mobile Technologies, LLC",2025-01-24,0,10684.77
Helix,2025-05-18,0,3037.669999999999
"Creative Mobile Technologies, LLC",2025-02-26,0,6218.88
"Curb Mobility, LCC",2025-05-07,0,70847.84999999999
"Creative Mobile Technologies, LLC",2025-01-16,0,6883.040000000002
"Creative Mobile Technologies, LLC",2025-03-24,0,6079.99
Helix,2025-04-29,0,779.76
Helix,2025-03-01,0,107.1
"Creative Mobile Technologies, LLC",2025-02-27,0,8173.610000000001
"Curb Mobility, LCC",2025-05-31,0,104577.81
Helix,2025-05-16,0,2536.0899999999997
"Creative Mobile Technologies, LLC",2025-06-13,0,18058.010000000002
"Creative Mobile Technologies, LLC",2025-03-31,0,12047.85
"Creative Mobile Technologies, LLC",2025-02-11,0,6261.679999999999
"Creative Mobile Technologies, LLC",2025-06-17,0,7354.93
Helix,2025-05-23,0,2031.1300000000003
Helix,2025-04-06,0,1117.4199999999998
"Curb Mobility, LCC",2025-06-25,0,42330.23
"Curb Mobility, LCC",2025-03-14,0,74583.45999999996
"Creative Mobile Technologies, LLC",2025-04-25,0,14046.470000000003
Helix,2025-02-09,0,97.44999999999999
"Creative Mobile Technologies, LLC",2025-04-24,0,10056.98
"Creative Mobile Technologies, LLC",2025-01-21,0,7388.770000000001
"Creative Mobile Technologies, LLC",2025-05-05,0,11569.47
"Curb Mobility, LCC",2025-06-08,0,107244.24000000002
Helix,2025-05-10,0,2408.63
Helix,2025-04-30,0,744.9799999999999
Helix,2025-03-27,0,300.03
Helix,2025-06-20,0,1842.6599999999999
"Curb Mobility, LCC",2025-03-22,0,103207.85999999999
"Curb Mobility, LCC",2025-04-07,0,32891.92
"Curb Mobility, LCC",2025-04-14,0,37845.24999999999
"Curb Mobility, LCC",2025-04-03,0,41668.31999999999
"Curb Mobility, LCC",2025-03-05,0,30444.120000000003
"Creative Mobile Technologies, LLC",2025-01-08,0,5580.58
"Curb Mobility, LCC",2025-03-09,0,112379.15000000001
"Curb Mobility, LCC",2025-03-23,0,113122.93000000001
Helix,2025-06-30,0,954.3100000000001
"Curb Mobility, LCC",2025-05-21,0,52643.79999999999
Helix,2025-05-15,0,1740.39
"Curb Mobility, LCC",2025-06-28,0,116053.67999999996
"Creative Mobile Technologies, LLC",2025-05-03,0,24055.559999999998
"Creative Mobile Technologies, LLC",2025-02-20,0,7490.21
Helix,2025-01-19,0,14.7
Helix,2025-02-21,0,20.58
Helix,2025-02-26,0,54.309999999999995
"Curb Mobility, LCC",2025-03-12,0,31698.98
"Creative Mobile Technologies, LLC",2025-01-26,0,24083.909999999996
"Curb Mobility, LCC",2025-04-02,0,36231.59
"Creative Mobile Technologies, LLC",2025-03-15,0,23701.350000000002
Helix,2025-06-26,0,1885.78
"Creative Mobile Technologies, LLC",2025-01-11,0,21495.63
"Creative Mobile Technologies, LLC",2025-01-05,0,16546.47
"Creative Mobile Technologies, LLC",2025-04-05,0,25039.640000000007
"Creative Mobile Technologies, LLC",2025-06-26,0,15630.95
Helix,2025-05-27,0,1064.5099999999998
"Creative Mobile Technologies, LLC",2025-05-23,0,16141.6
"Curb Mobility, LCC",2025-05-17,0,140939.54999999993
"Curb Mobility, LCC",2025-06-05,0,62409.84999999999
"Creative Mobile Technologies, LLC",2025-04-01,0,8818
Helix,2025-02-13,0,119.60000000000001
"Creative Mobile Technologies, LLC",2025-05-12,0,7954.009999999999
Helix,2025-03-20,0,590.97
"Curb Mobility, LCC",2025-01-01,0,127241.84999999998
"Curb Mobility, LCC",2025-06-13,0,80956.54000000001
"Creative Mobile Technologies, LLC",2025-04-30,0,7872.2
"Creative Mobile Technologies, LLC",2025-04-11,0,13713.090000000002
Helix,2025-04-16,0,691.1899999999999
"Curb Mobility, LCC",2025-01-21,0,39054.88
"Curb Mobility, LCC",2025-06-17,0,42105.600000000006
"Curb Mobility, LCC",2025-01-22,0,28074.030000000002
"Creative Mobile Technologies, LLC",2025-06-08,0,26105.28
Helix,2025-06-18,0,1483.2999999999997
Helix,2025-02-22,0,143.92
Helix,2025-03-18,0,471.23999999999995
"Creative Mobile Technologies, LLC",2025-06-25,0,8733.700000000003
Helix,2025-03-23,0,1016.4100000000001
Helix,2025-05-02,0,1413.0100000000002
Helix,2025-03-22,0,1248.97
"Curb Mobility, LCC",2025-01-28,0,22675.630000000005
Helix,2025-04-22,0,439.95
"Curb Mobility, LCC",2025-05-14,0,40277.34999999999
"Creative Mobile Technologies, LLC",2025-04-08,0,6560.110000000001
"Creative Mobile Technologies, LLC",2025-04-19,0,19306.27
Helix,2025-04-03,0,718.2800000000001
"Curb Mobility, LCC",2025-06-30,0,47461.17
"Creative Mobile Technologies, LLC",2025-05-19,0,8338.609999999999
"Creative Mobile Technologies, LLC",2025-04-04,0,14086.429999999998
"Curb Mobility, LCC",2025-02-22,0,87492.31000000001
Helix,2025-05-24,0,2140.32
"Creative Mobile Technologies, LLC",2025-03-01,0,25611.430000000008
Helix,2025-05-30,0,2472.0699999999997
"Creative Mobile Technologies, LLC",2025-03-04,0,6152.48
"Creative Mobile Technologies, LLC",2025-06-16,0,11690.899999999998
Helix,2025-02-04,0,15.54
"Creative Mobile Technologies, LLC",2025-05-22,0,14155.92
"Creative Mobile Technologies, LLC",2025-01-09,0,7017.78
"Creative Mobile Technologies, LLC",2025-02-18,0,9674.6
Helix,2025-02-20,0,42
"Creative Mobile Technologies, LLC",2025-02-05,0,5203.5199999999995
Helix,2025-01-26,0,71.24
"Creative Mobile Technologies, LLC",2025-03-02,0,28309.520000000008
"Curb Mobility, LCC",2025-01-23,0,29005.059999999998
Helix,2025-04-18,0,969.95
Helix,2025-04-11,0,769.4800000000001
"Creative Mobile Technologies, LLC",2025-02-24,0,6286.17
Helix,2025-05-12,0,746.8599999999999
"Creative Mobile Technologies, LLC",2025-03-30,0,27430.979999999992
Helix,2025-06-27,0,3032.87
Helix,2025-06-16,0,1280.0700000000002
"Creative Mobile Technologies, LLC",2025-04-12,0,21424.04
"Curb Mobility, LCC",2025-06-10,0,50553.53
"Curb Mobility, LCC",2025-04-16,0,40822.7
Helix,2025-06-15,0,3258.9900000000002
Helix,2025-04-04,0,731.8199999999998
"Creative Mobile Technologies, LLC",2025-06-27,0,18757.19
"Curb Mobility, LCC",2025-03-21,0,72468.52
"Curb Mobility, LCC",2025-02-20,0,34249.799999999996
"Curb Mobility, LCC",2025-05-08,0,50828.02
"Curb Mobility, LCC",2025-02-19,0,29884.030000000002
"Curb Mobility, LCC",2025-01-31,0,46997.73
"Curb Mobility, LCC",2025-03-13,0,42939.33000000001
Helix,2025-06-29,0,3950.4300000000003
Helix,2025-05-17,0,2448.59
Helix,2025-03-09,0,863.38
"Curb Mobility, LCC",2025-02-12,0,22700.189999999995
"Creative Mobile Technologies, LLC",2025-05-15,0,12437.87
Helix,2025-05-14,0,1287.49
"Creative Mobile Technologies, LLC",2025-02-22,0,21983.090000000004
"Creative Mobile Technologies, LLC",2025-06-07,0,26141.279999999995
"Creative Mobile Technologies, LLC",2025-05-04,0,24051.779999999995
Helix,2025-04-14,0,556.9
Helix,2025-02-07,0,173.22
Helix,2025-05-20,0,1090.94
"Curb Mobility, LCC",2025-01-29,0,24657.91
"Creative Mobile Technologies, LLC",2025-06-14,0,25246.290000000005
"Creative Mobile Technologies, LLC",2025-02-28,0,11564.509999999998
"Creative Mobile Technologies, LLC",2025-04-07,0,6826.979999999998
"Curb Mobility, LCC",2025-05-02,0,75395.98000000001
"Curb Mobility, LCC",2025-02-28,0,55697.23
"Curb Mobility, LCC",2025-04-23,0,37907.60999999999
Helix,2025-05-04,0,2371.46
"Curb Mobility, LCC",2025-01-07,0,37130.130000000005
"Creative Mobile Technologies, LLC",2025-01-19,0,22618.11
"Curb Mobility, LCC",2025-06-21,0,90291.37999999999
Helix,2025-05-09,0,1753.04
"Curb Mobility, LCC",2025-02-09,0,75350.99999999999
Helix,2025-03-12,0,545.79
Helix,2025-03-04,0,50.24
"Creative Mobile Technologies, LLC",2025-03-07,0,13193.750000000002
"Creative Mobile Technologies, LLC",2025-05-10,0,28369.699999999997
"Curb Mobility, LCC",2025-02-02,0,97628.61
"Creative Mobile Technologies, LLC",2025-03-20,0,9235.74
"Curb Mobility, LCC",2025-05-28,0,43777.78999999999
"Curb Mobility, LCC",2025-02-05,0,23421.29
"Creative Mobile Technologies, LLC",2025-04-28,0,8113.77
"Curb Mobility, LCC",2025-04-06,0,110087.94
"Curb Mobility, LCC",2025-03-27,0,49283.11
Helix,2025-04-15,0,333.47
"Curb Mobility, LCC",2025-05-16,0,102275.37
Helix,2025-03-05,0,258.04
"Curb Mobility, LCC",2025-02-23,0,101095.62000000002
"Curb Mobility, LCC",2025-05-20,0,45991.74
"Curb Mobility, LCC",2025-03-25,0,40702.31999999999
"Curb Mobility, LCC",2025-02-14,0,57653.90999999999
"Curb Mobility, LCC",2025-03-15,0,100358.22999999998
"Creative Mobile Technologies, LLC",2025-05-01,0,10773.859999999997
Helix,2025-04-02,0,271.2
"Creative Mobile Technologies, LLC",2025-05-27,0,6517.5199999999995
"Curb Mobility, LCC",2025-01-11,0,80980.46999999997
"Curb Mobility, LCC",2025-01-09,0,32813.99
"Curb Mobility, LCC",2025-04-28,0,42544.509999999995
"Creative Mobile Technologies, LLC",2025-06-01,0,25071.420000000006
"Creative Mobile Technologies, LLC",2025-05-26,0,10796.78
"Curb Mobility, LCC",2025-01-03,0,36891.82
